"grids","species"
"Lake.Rukwa","Enteromius kerstenii"
"Malawi","Enteromius kerstenii"
"Okavango","Enteromius kerstenii"
"Tanganyika","Enteromius kerstenii"
"Uaso.Nyiro.River","Enteromius kerstenii"
"Victoria.lake","Enteromius kerstenii"
"Edward","Enteromius mimus"
"George.lake","Enteromius mimus"
"Turkana","Enteromius mimus"
"Victoria.lake","Enteromius mimus"
"Okavango","Enteromius miolepis"
"Tchad","Enteromius miolepis"
"Abhe.Bad","Enteromius paludinosus"
"Awasa.Hayk","Enteromius paludinosus"
"Bahi.Swamp","Enteromius paludinosus"
"Chilwa","Enteromius paludinosus"
"Edward","Enteromius paludinosus"
"Etosha.Pan","Enteromius paludinosus"
"Kyoga","Enteromius paludinosus"
"Lake.Malombe","Enteromius paludinosus"
"Lake.Manyara","Enteromius paludinosus"
"Lake.Rukwa","Enteromius paludinosus"
"Malawi","Enteromius paludinosus"
"Naivasha","Enteromius paludinosus"
"Natron","Enteromius paludinosus"
"Okavango","Enteromius paludinosus"
"Tana.lake","Enteromius paludinosus"
"Tanganyika","Enteromius paludinosus"
"Turkana","Enteromius paludinosus"
"Uaso.Nyiro.River","Enteromius paludinosus"
"Victoria.lake","Enteromius paludinosus"
"Ziway.Hayk","Enteromius paludinosus"
"Edward","Enteromius pellegrini"
"George.lake","Enteromius pellegrini"
"Kivu","Enteromius pellegrini"
"Lake.Albert","Enteromius pellegrini"
"Lake.Rukwa","Enteromius pellegrini"
"Tanganyika","Enteromius pellegrini"
"Victoria.lake","Enteromius pellegrini"
"Edward","Enteromius stigmatopygus"
"George.lake","Enteromius stigmatopygus"
"Lake.Albert","Enteromius stigmatopygus"
"Tchad","Enteromius stigmatopygus"
"Turkana","Enteromius stigmatopygus"
"Victoria.lake","Enteromius stigmatopygus"
"Billeroo.creek","Epinephelus fasciatus"
"Valle.de.Mexico","Epinephelus morio"
"Ruoshui","Esox americanus"
"Amu.Darya","Esox lucius"
"Bear.river","Esox lucius"
"Humboldt","Esox lucius"
"Namak","Esox lucius"
"Syr.Darya","Esox lucius"
"Truckee","Esox lucius"
"Qaidam","Etheostoma gracile"
"Shule","Etheostoma nigrum"
"Qinghai","Etheostoma spectabile"
"Ruoshui","Etheostoma spectabile"
"Shule","Etheostoma spectabile"
"Antelope.Wash","Fundulus zebrinus"
"Bear.river","Fundulus zebrinus"
"Qinghai","Fundulus zebrinus"
"Ruoshui","Fundulus zebrinus"
"Shiyang","Fundulus zebrinus"
"Shule","Fundulus zebrinus"
"White.Woman.creek","Fundulus zebrinus"
"Ahaggar","Gambusia affinis"
"Antelope.Wash","Gambusia affinis"
"Bahar.el.Hammar","Gambusia affinis"
"Bear.river","Gambusia affinis"
"Casas.Grandes","Gambusia affinis"
"Cuitzeo","Gambusia affinis"
"Dead.Sea","Gambusia affinis"
"Death.Valley","Gambusia affinis"
"Del.Carmen","Gambusia affinis"
"Guir","Gambusia affinis"
"Helmand","Gambusia affinis"
"Heraz","Gambusia affinis"
"Humboldt","Gambusia affinis"
"Irharhar","Gambusia affinis"
"Kor","Gambusia affinis"
"Loukos","Gambusia affinis"
"Lut","Gambusia affinis"
"Maharlu","Gambusia affinis"
"Malheur.lake","Gambusia affinis"
"Mar.Chiquita","Gambusia affinis"
"Mojave","Gambusia affinis"
"Nazas","Gambusia affinis"
"Owens","Gambusia affinis"
"Qaidam","Gambusia affinis"
"Qinghai","Gambusia affinis"
"Quinn","Gambusia affinis"
"Ruoshui","Gambusia affinis"
"Santa.Maria","Gambusia affinis"
"Sebkhet.Safioune","Gambusia affinis"
"Shule","Gambusia affinis"
"Truckee","Gambusia affinis"
"Victoria.lake","Gambusia affinis"
"Wadi.Nashu","Gambusia affinis"
"Walker.USA","Gambusia affinis"
"Whitewater","Gambusia affinis"
"Amu.Darya","Gambusia holbrooki"
"Avoca","Gambusia holbrooki"
"Bulloo","Gambusia holbrooki"
"Corangamite","Gambusia holbrooki"
"Cornella.creek","Gambusia holbrooki"
"Dasht.e.Lut","Gambusia holbrooki"
"Dead.Sea","Gambusia holbrooki"
"Dorodong.creek","Gambusia holbrooki"
"Esfahan","Gambusia holbrooki"
"Guir","Gambusia holbrooki"
"Haunted.Gully","Gambusia holbrooki"
"Helmand","Gambusia holbrooki"
"Kor","Gambusia holbrooki"
"Lake.Eyre.Basin","Gambusia holbrooki"
"Lake.George","Gambusia holbrooki"
"Lake.Hindmarsh","Gambusia holbrooki"
"Lake.Torrens","Gambusia holbrooki"
"Lake.Tyrrell","Gambusia holbrooki"
"Lake.Wallace","Gambusia holbrooki"
"Lut","Gambusia holbrooki"
"Maharlu","Gambusia holbrooki"
"Mashkel","Gambusia holbrooki"
"Mosquito.creek","Gambusia holbrooki"
"Namak","Gambusia holbrooki"
"Naracoorte.creek","Gambusia holbrooki"
"Owens","Gambusia holbrooki"
"Reedy.lake","Gambusia holbrooki"
"Round.lake","Gambusia holbrooki"
"Sebkhet.Safioune","Gambusia holbrooki"
"Syr.Darya","Gambusia holbrooki"
"Tassili","Gambusia holbrooki"
"Wadi.SA1","Gambusia holbrooki"
"Abhe.Bad","Garra dembeensis"
"Baringo","Garra dembeensis"
"Daui","Garra dembeensis"
"Tana.lake","Garra dembeensis"
"Turkana","Garra dembeensis"
"Victoria.lake","Garra dembeensis"
"Ziway.Hayk","Garra dembeensis"
"Dead.Sea","Garra jordanica"
"Dead.Sea","Garra nana"
"Dasht.e.Lut","Garra rossica"
"Heraz","Garra rossica"
"Kal.e.Shur","Garra rossica"
"Mashkel","Garra rossica"
"Pichin.Lora","Garra rossica"
"Mojave","Gasterosteus aculeatus"
"Owens","Gasterosteus aculeatus"
"Valle.de.Mexico","Girardinichthys viviparus"
"Lake.Eyre.Basin","Glossogobius aureus"
"Chilwa","Glossogobius giuris"
"Lake.Eyre.Basin","Glossogobius giuris"
"Malawi","Glossogobius giuris"
"Billeroo.creek","Gnathodentex aureolineatus"
"Amu.Darya","Gobio gobio"
"Beysehir","Gobio gobio"
"Heraz","Gobio gobio"
"Syr.Darya","Gobio gobio"
"Tuz","Gobio insuyanus"
"Tuz","Gobio maeandricus"
"Amu.Darya","Gobio sibiricus"
"Balkhash","Gobio sibiricus"
"Syr.Darya","Gobio sibiricus"
"Aguanaval","Goodea atripinnis"
"Cuitzeo","Goodea atripinnis"
"Valle.de.Mexico","Goodea atripinnis"
"Edward","Haplochromis concilians"
"Victoria.lake","Haplochromis fischeri"
"Kyoga","Haplochromis greenwoodi"
"Victoria.lake","Haplochromis greenwoodi"
"Victoria.lake","Haplochromis laparogramma"
"Edward","Haplochromis mylodon"
"George.lake","Haplochromis mylodon"
"Edward","Haplochromis pappenheimi"
"George.lake","Haplochromis pappenheimi"
"Edward","Haplochromis paradoxus"
"Edward","Haplochromis pharyngalis"
"George.lake","Haplochromis pharyngalis"
"Victoria.lake","Haplochromis pyrrhocephalus"
"Victoria.lake","Haplochromis rubripinnis"
"Victoria.lake","Haplochromis rufocaudalis"
"Victoria.lake","Haplochromis rufus"
"Edward","Haplochromis taurinus"
"George.lake","Haplochromis taurinus"
"Tarim","Hedinichthys yarkandensis"
"Okavango","Hemichromis elongatus"
"Tchad","Hemichromis elongatus"
"Amu.Darya","Hemiculter leucisculus"
"Namak","Hemiculter leucisculus"
