"s" "f" "o" "insertions"
"419" "Acrossocheilus_paradoxus" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"420" "Acrossocheilus_parallens" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"421" "Acrossocheilus_rendahli" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"422" "Acrossocheilus_spinifer" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"423" "Acrossocheilus_wenchowensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"424" "Acrossocheilus_wuyiensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"425" "Acrossocheilus_xamensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"426" "Acrossocheilus_yalyensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"427" "Acrossocheilus_yunnanensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"446" "Adontosternarchus_balaenops" "Apteronotidae" "Gymnotiformes" "Congeneric_insertion"
"447" "Adontosternarchus_clarkae" "Apteronotidae" "Gymnotiformes" "Present_in_Tree"
"448" "Adontosternarchus_devenanzii" "Apteronotidae" "Gymnotiformes" "Congeneric_insertion"
"449" "Adontosternarchus_duartei" "Apteronotidae" "Gymnotiformes" "Congeneric_insertion"
"450" "Adontosternarchus_nebulosus" "Apteronotidae" "Gymnotiformes" "Congeneric_insertion"
"451" "Adontosternarchus_sachsi" "Apteronotidae" "Gymnotiformes" "Congeneric_insertion"
"452" "Adrianichthys_kruyti" "Adrianichthyidae" "Beloniformes" "Congeneric_insertion"
"453" "Adrianichthys_oophorus" "Adrianichthyidae" "Beloniformes" "Present_in_Tree"
"454" "Adrianichthys_poptae" "Adrianichthyidae" "Beloniformes" "Congeneric_insertion"
"455" "Adrianichthys_roseni" "Adrianichthyidae" "Beloniformes" "Congeneric_insertion"
"459" "Aequidens_chimantanus" "Cichlidae" "Cichliformes" "Present_in_Tree"
"460" "Aequidens_diadema" "Cichlidae" "Cichliformes" "Present_in_Tree"
"461" "Aequidens_epae" "Cichlidae" "Cichliformes" "Congeneric_insertion"
"462" "Aequidens_gerciliae" "Cichlidae" "Cichliformes" "Congeneric_insertion"
"463" "Aequidens_mauesanus" "Cichlidae" "Cichliformes" "Congeneric_insertion"
"464" "Aequidens_metae" "Cichlidae" "Cichliformes" "Present_in_Tree"
"465" "Aequidens_michaeli" "Cichlidae" "Cichliformes" "Congeneric_insertion"
"466" "Aequidens_pallidus" "Cichlidae" "Cichliformes" "Congeneric_insertion"
